off_team,lane,off_rush_share
ARI,left_end,16.8
ATL,left_end,14
BAL,left_end,14.5
BUF,left_end,9.2
CAR,left_end,12.1
CHI,left_end,16.5
CIN,left_end,12.6
CLE,left_end,12.2
DAL,left_end,12.7
DEN,left_end,14.8
DET,left_end,8.5
GB,left_end,13.5
HOU,left_end,4.8
IND,left_end,8.1
JAX,left_end,17
KC,left_end,12.1
LA,left_end,5.6
LAC,left_end,15.1
LV,left_end,7.3
MIA,left_end,17
MIN,left_end,20.3
NE,left_end,14.4
NO,left_end,11.5
NYG,left_end,7.7
NYJ,left_end,14.4
PHI,left_end,12.5
PIT,left_end,15.6
SEA,left_end,15.4
SF,left_end,10.5
TB,left_end,14.8
TEN,left_end,6.7
WAS,left_end,13.4
,left_end,
,left_end,
Yards per Carry (by lane),left_end,
Team,left_end,Left End
ARI,left_end,4.428571428571429
ATL,left_end,2.809523809523809
BAL,left_end,6
BUF,left_end,8.4
CAR,left_end,7.095238095238095
CHI,left_end,3.954545454545455
CIN,left_end,4.833333333333333
CLE,left_end,3.111111111111111
DAL,left_end,8.4
DEN,left_end,8.458333333333334
DET,left_end,6
GB,left_end,4.954545454545454
HOU,left_end,6.2
IND,left_end,6.75
JAX,left_end,7.153846153846154
KC,left_end,7.583333333333333
LA,left_end,9.777777777777779
LAC,left_end,7.090909090909091
LV,left_end,4.818181818181818
MIA,left_end,6.047619047619047
MIN,left_end,4.130434782608695
NE,left_end,6.15
NO,left_end,6.578947368421052
NYG,left_end,2.5
NYJ,left_end,1.1875
PHI,left_end,6.0625
PIT,left_end,4.15
SEA,left_end,2.931034482758621
SF,left_end,3
TB,left_end,1.5
TEN,left_end,5
WAS,left_end,6.260869565217392
,left_end,
,left_end,
Rush Success Rate (by lane),left_end,
Team,left_end,Left End
ARI,left_end,0.4761904761904761
ATL,left_end,0.5238095238095238
BAL,left_end,0.6666666666666666
BUF,left_end,0.5
CAR,left_end,0.7142857142857143
CHI,left_end,0.5454545454545454
CIN,left_end,0.5
CLE,left_end,0.3333333333333333
DAL,left_end,0.6
DEN,left_end,0.5833333333333334
DET,left_end,0.5
GB,left_end,0.5
HOU,left_end,0.6
IND,left_end,0.6666666666666666
JAX,left_end,0.5
KC,left_end,0.5833333333333334
LA,left_end,0.7777777777777778
LAC,left_end,0.5
LV,left_end,0.6363636363636364
MIA,left_end,0.4761904761904761
MIN,left_end,0.4347826086956521
NE,left_end,0.65
NO,left_end,0.6842105263157895
NYG,left_end,0.3571428571428571
NYJ,left_end,0.25
PHI,left_end,0.6875
PIT,left_end,0.6
SEA,left_end,0.3448275862068966
SF,left_end,0.4
TB,left_end,0.3181818181818182
TEN,left_end,0.4444444444444444
WAS,left_end,0.6086956521739131
,left_end,
,left_end,
Rush TDs (by lane),left_end,
Team,left_end,Left End
ARI,left_end,0
ATL,left_end,0
BAL,left_end,0
BUF,left_end,0
CAR,left_end,0
CHI,left_end,1
CIN,left_end,0
CLE,left_end,0
DAL,left_end,0
DEN,left_end,3
DET,left_end,1
GB,left_end,1
HOU,left_end,0
IND,left_end,1
JAX,left_end,2
KC,left_end,0
LA,left_end,1
LAC,left_end,0
LV,left_end,0
MIA,left_end,1
MIN,left_end,1
NE,left_end,1
NO,left_end,0
NYG,left_end,0
NYJ,left_end,0
PHI,left_end,1
PIT,left_end,1
SEA,left_end,2
SF,left_end,0
TB,left_end,3
TEN,left_end,0
WAS,left_end,3
ARI,left_tackle,16.2
ATL,left_tackle,14.5
BAL,left_tackle,15.2
BUF,left_tackle,10.4
CAR,left_tackle,17.1
CHI,left_tackle,11
CIN,left_tackle,3.1
CLE,left_tackle,7.6
