off_team,def_team,play_type,direction,gap_clean,lane_group,off_epa_per_rush,off_success_rate,def_success_allowed_proxy,edge_success_off_minus_defproxy,off_rush_attempts
CAR,LAR,rush,left,,middle,0.02370833333333333,79.2,,,24
CAR,LAR,rush,left,,middle,0.0068000000000000005,60.0,,,20
CAR,LAR,rush,left,,middle,-0.0018529411764705882,47.1,,,34
CAR,LAR,rush,middle,,middle,-0.001783783783783784,37.8,,,74
CAR,LAR,rush,right,,middle,0.03542857142857143,71.4,,,14
CAR,LAR,rush,right,,middle,0.004666666666666667,38.9,,,18
CAR,LAR,rush,right,,middle,0.0037333333333333333,46.7,,,15
PHI,SF,rush,left,,middle,0.015954545454545454,59.1,0.6037735849056604,58.49622641509434,22
PHI,SF,rush,left,,middle,-0.036307692307692305,7.7,0.6037735849056604,7.09622641509434,13
PHI,SF,rush,left,,middle,-0.006,36.8,0.6037735849056604,36.19622641509434,19
PHI,SF,rush,middle,,middle,-0.0006666666666666668,39.2,0.6037735849056604,38.59622641509434,51
PHI,SF,rush,right,,middle,0.013428571428571427,52.4,0.6037735849056604,51.79622641509434,21
PHI,SF,rush,right,,middle,-0.0033214285714285715,35.7,0.6037735849056604,35.09622641509434,28
PHI,SF,rush,right,,middle,0.007954545454545454,59.1,0.6037735849056604,58.49622641509434,22
SF,PHI,rush,left,,middle,-0.0182,35.0,0.391304347826087,34.608695652173914,20
SF,PHI,rush,left,,middle,-0.005310344827586207,31.0,0.391304347826087,30.608695652173914,29
SF,PHI,rush,left,,middle,0.004941176470588235,52.9,0.391304347826087,52.50869565217391,17
SF,PHI,rush,middle,,middle,0.0016363636363636363,52.7,0.391304347826087,52.30869565217392,55
SF,PHI,rush,right,,middle,0.005333333333333333,52.4,0.391304347826087,52.00869565217391,21
SF,PHI,rush,right,,middle,-0.007541666666666666,37.5,0.391304347826087,37.108695652173914,24
SF,PHI,rush,right,,middle,-0.0144,24.0,0.391304347826087,23.608695652173914,25
JAX,BUF,rush,left,,middle,0.008206896551724137,44.8,0.6666666666666666,44.13333333333333,29
JAX,BUF,rush,left,,middle,-0.0042,46.7,0.6666666666666666,46.03333333333334,15
JAX,BUF,rush,left,,middle,-0.015153846153846155,38.5,0.6666666666666666,37.833333333333336,13
JAX,BUF,rush,middle,,middle,0.0005068493150684931,50.7,0.6666666666666666,50.03333333333334,73
JAX,BUF,rush,right,,middle,0.011000000000000001,52.0,0.6666666666666666,51.333333333333336,25
JAX,BUF,rush,right,,middle,-0.016666666666666666,33.3,0.6666666666666666,32.63333333333333,9
JAX,BUF,rush,right,,middle,0.004571428571428572,57.1,0.6666666666666666,56.43333333333334,7
BUF,JAX,rush,left,,middle,0.024125,68.8,0.5223880597014925,68.2776119402985,16
BUF,JAX,rush,left,,middle,0.011095238095238096,42.9,0.5223880597014925,42.37761194029851,21
BUF,JAX,rush,left,,middle,-0.004611111111111111,44.4,0.5223880597014925,43.87761194029851,18
BUF,JAX,rush,middle,,middle,0.007543478260869565,56.5,0.5223880597014925,55.97761194029851,46
BUF,JAX,rush,right,,middle,0.015052631578947368,57.9,0.5223880597014925,57.37761194029851,19
BUF,JAX,rush,right,,middle,0.0004642857142857143,46.4,0.5223880597014925,45.87761194029851,28
BUF,JAX,rush,right,,middle,0.00264,48.0,0.5223880597014925,47.47761194029851,25
PIT,HOU,rush,left,,middle,0.0013333333333333333,47.6,0.5,47.1,21
PIT,HOU,rush,left,,middle,-0.007928571428571429,50.0,0.5,49.5,14
PIT,HOU,rush,left,,middle,0.006736842105263158,47.4,0.5,46.9,19
PIT,HOU,rush,middle,,middle,-0.0007878787878787878,42.4,0.5,41.9,33
PIT,HOU,rush,right,,middle,0.003125,50.0,0.5,49.5,16
PIT,HOU,rush,right,,middle,0.0056,53.3,0.5,52.8,15
PIT,HOU,rush,right,,middle,-0.001,29.4,0.5,28.9,17
HOU,PIT,rush,left,,middle,0.03885714285714286,57.1,0.5,56.6,7
HOU,PIT,rush,left,,middle,-0.01611111111111111,27.8,0.5,27.3,18
HOU,PIT,rush,left,,middle,-0.010391304347826086,26.1,0.5,25.6,23
HOU,PIT,rush,middle,,middle,0.004029411764705883,38.2,0.5,37.7,34
HOU,PIT,rush,right,,middle,0.014199999999999999,60.0,0.5,59.5,20
HOU,PIT,rush,right,,middle,0.009307692307692307,38.5,0.5,38.0,26
HOU,PIT,rush,right,,middle,-0.028055555555555556,22.2,0.5,21.7,18
NE,LAC,rush,left,,middle,0.01526923076923077,53.8,0.5833333333333334,53.21666666666666,26
NE,LAC,rush,left,,middle,-0.007625,29.2,0.5833333333333334,28.616666666666667,24
NE,LAC,rush,left,,middle,-0.010454545454545454,27.3,0.5833333333333334,26.71666666666667,22
NE,LAC,rush,middle,,middle,-0.002483333333333333,35.0,0.5833333333333334,34.416666666666664,60
NE,LAC,rush,right,,middle,0.0254375,62.5,0.5833333333333334,61.916666666666664,16
NE,LAC,rush,right,,middle,-0.034749999999999996,30.0,0.5833333333333334,29.416666666666668,20
