Slot,Player,Team,Pos,Salary,Projection,Adj_Projection,Heatmap_Tag,Game
QB,Brock Purdy,SF,QB,6000.0,24.8325,26.19052734375,GREEN,SF@PHI
RB1,Christian McCaffrey,SF,RB,8500.0,30.4902,27.917589375,RED,SF@PHI
RB2,Chuba Hubbard,CAR,RB,5500.0,14.3067,15.3797025,GREEN,LAR@CAR
WR1,Tetairoa McMillan,CAR,WR,6000.0,15.516,16.388775,NEUTRAL,LAR@CAR
WR2,Jauan Jennings,SF,WR,5600.0,13.5774,14.9139253125,GREEN,SF@PHI
WR3,Ricky Pearsall,SF,WR,5100.0,11.2457,12.35269859375,GREEN,SF@PHI
TE,George Kittle,SF,TE,6200.0,19.2618,21.1578834375,GREEN,SF@PHI
DST,Steelers ,LAR,DST,3500.0,0.0,0.0,NEUTRAL,LAR@CAR
FLEX,Rico Dowdle,SF,WR,3600.0,6.9978,7.6866459375,GREEN,SF@PHI
,,,,,,,,
TOTALS,,,,50000.0,,141.9877475,,
