Player,Team,Pos,Salary,Ownership,Team_IMP,Game_Total,Route_Rate,Rush_Share,Target_Share,RedZone,aDOT,Role_Tag,Ceiling,Leverage,Eligible,Slate_Date,Projection,Heatmap_Score,Heatmap_Mult,Adj_Projection,Heatmap_Tag,Injury_Status,Injury_Note,Injury_Date
Puka Nacua,LAR,WR,8700,0.9765965886552955,,44,0.9,0.0,0.18,0,12,,13.600000000000001,0.31828639428798083,YES,01/10/2026,0.0,0.40625,0.45,0.0,GREEN,,,
Matthew Stafford,LAR,QB,6900,0.8710829036096787,,44,1.0,0.05,0.0,1,0,,11.3,1.4567631892106312,YES,01/10/2026,0.0,0.40625,0.25,0.0,GREEN,,,
Davante Adams,LAR,WR,6500,0.6402221340737803,,44,0.9,0.0,0.18,0,12,,13.600000000000001,4.892978976596589,YES,01/10/2026,0.0,0.40625,0.45,0.0,GREEN,Questionable,"Adams (hamstring) was limited in practice Thursday, Adam Grosbard of The Orange County Register reports.",2026-01-01T23:27:00.000Z
Kyren Williams,LAR,RB,6400,0.6259420864736215,,44,0.5,0.6,0.08,1,0,,11.620000000000001,4.346552955176518,YES,01/10/2026,0.0,0.46875,0.3,0.0,GREEN,Questionable,"Williams (ankle) practiced in a limited fashion Thursday, Adam Grosbard of The Orange County Register reports.",2026-01-01T23:44:00.000Z
Josh Jacobs,GB,RB,6300,0.6322887742959142,,42,0.5,0.6,0.08,1,0,,11.22,4.125719952399843,YES,01/10/2026,0.0,0.34375,0.3,0.0,GREEN,Questionable,Jacobs (knee/ankle) practiced in a limited capacity Thursday.,2026-01-01T22:04:00.000Z
Tetairoa McMillan,CAR,WR,6000,0.5097183657278858,,44,0.9,0.0,0.18,0,12,,13.600000000000001,6.6678302261007545,YES,01/10/2026,15.516,0.125,0.45,16.388775,NEUTRAL,,,
Rome Odunze,CHI,WR,5800,0.5029750099166997,,42,0.9,0.0,0.18,0,12,,13.200000000000001,6.560729869099564,YES,01/10/2026,0.0,0.34375,0.45,0.0,GREEN,Questionable,Odunze (foot) didn't practice Thursday.,2026-01-01T20:47:00.000Z
D'Andre Swift,CHI,RB,5700,0.5942086473621578,,42,0.5,0.6,0.08,1,0,,11.22,4.552978976596589,YES,01/10/2026,0.0,-0.09375,0.3,0.0,NEUTRAL,,,
Caleb Williams,CHI,QB,5600,0.7691392304641016,,42,1.0,0.05,0.0,1,0,,10.9,2.5163823879412925,YES,01/10/2026,0.0,0.34375,0.25,0.0,GREEN,,,
Rico Dowdle,CAR,RB,5500,0.5279650932169774,,44,0.5,0.6,0.08,1,0,,11.620000000000001,5.485045616818724,YES,01/10/2026,14.3067,0.25,0.3,15.3797025,GREEN,,,
Blake Corum,LAR,RB,5400,0.2919476398254661,,44,0.5,0.6,0.08,1,0,,11.620000000000001,8.227568425228084,YES,01/10/2026,0.0,0.46875,0.3,0.0,GREEN,Questionable,"Corum (ankle) didn't take part in Thursday's practice, Adam Grosbard of The Orange County Register reports.",2026-01-01T23:54:00.000Z
Jordan Love,GB,QB,5300,0.6588655295517651,,42,1.0,0.05,0.0,1,0,,10.9,3.71836572788576,YES,01/10/2026,0.0,0.4375,0.25,0.0,GREEN,,,
Emanuel Wilson,GB,RB,5300,0.2276874256247521,,42,0.5,0.6,0.08,1,0,,11.22,8.665347084490282,YES,01/10/2026,0.0,0.34375,0.3,0.0,GREEN,,,
DJ Moore,CHI,WR,5300,0.3994446648155494,,42,0.9,0.0,0.18,0,12,,13.200000000000001,7.927330424434748,YES,01/10/2026,0.0,0.34375,0.45,0.0,GREEN,,,
Kyle Monangai,CHI,RB,5200,0.3562078540261801,,42,0.5,0.6,0.08,1,0,,11.22,7.223347877826259,YES,01/10/2026,0.0,-0.09375,0.3,0.0,NEUTRAL,,,
Bryce Young,CAR,QB,5000,0.5926219754065847,,44,1.0,0.05,0.0,1,0,,11.3,4.603371677905593,YES,01/10/2026,16.0993,0.125,0.25,16.602403125,NEUTRAL,,,
Christian Watson,GB,WR,4900,0.5370884569615232,,42,0.9,0.0,0.18,0,12,,13.200000000000001,6.110432368107895,YES,01/10/2026,0.0,0.4375,0.45,0.0,GREEN,,,
Luther Burden III,CHI,WR,4600,0.3542245140817136,,42,0.9,0.0,0.18,0,12,,,,,01/10/2026,0.0,0.34375,0.45,0.0,GREEN,,,
Chuba Hubbard,CAR,RB,4500,0.3343911146370488,,44,0.5,0.6,0.08,1,0,,,,,01/10/2026,8.76,0.25,0.3,9.417,GREEN,,,
Jalen Coker,CAR,WR,4500,0.3296310987703293,,44,0.9,0.0,0.18,0,12,,,,,01/10/2026,7.9182,0.125,0.45,8.36359875,NEUTRAL,,,
Romeo Doubs,GB,WR,4400,0.4101547005156684,,42,0.9,0.0,0.18,0,12,,,,,01/10/2026,0.0,0.4375,0.45,0.0,GREEN,,,
Colston Loveland,CHI,TE,4400,0.4168980563268544,,42,0.8,0.0,0.15,1,8,,,,,01/10/2026,0.0,0.34375,0.45,0.0,GREEN,,,
Chris Brooks,GB,RB,4300,0.07616025386751289,,42,0.5,0.6,0.08,1,0,,,,,01/10/2026,0.0,0.34375,0.3,0.0,GREEN,,,
Malik Willis,GB,QB,4000,0.5172550575168583,,42,1.0,0.05,0.0,1,0,,,,,01/10/2026,0.0,0.4375,0.25,0.0,GREEN,Questionable,Willis (right shoulder/hamstring) practiced on a limited basis Thursday.,2026-01-02T00:05:00.000Z
Tyson Bagent,CHI,QB,4000,0.03411344704482348,,42,1.0,0.05,0.0,1,0,,,,,01/10/2026,0.0,0.34375,0.25,0.0,GREEN,,,
Clayton Tune,GB,QB,4000,0.05910353034510115,,42,1.0,0.05,0.0,1,0,,,,,01/10/2026,0.0,0.4375,0.25,0.0,GREEN,,,
Desmond Ridder,GB,QB,4000,0.0,,42,1.0,0.05,0.0,1,0,,,,,01/10/2026,0.0,0.4375,0.25,0.0,GREEN,,,
Case Keenum,CHI,QB,4000,0.0,,42,1.0,0.05,0.0,1,0,,,,,01/10/2026,0.0,0.34375,0.25,0.0,GREEN,,,
MarShawn Lloyd,GB,RB,4000,0.0,,42,0.5,0.6,0.08,1,0,,,,,01/10/2026,0.0,0.34375,0.3,0.0,GREEN,,,
Pierre Strong Jr.,GB,RB,4000,0.0,,42,0.5,0.6,0.08,1,0,,,,,01/10/2026,0.0,0.34375,0.3,0.0,GREEN,,,
Damien Martinez,GB,RB,4000,0.0,,42,0.5,0.6,0.08,1,0,,,,,01/10/2026,0.0,0.34375,0.3,0.0,GREEN,,,
Travis Homer,CHI,RB,4000,-0.0007933359777865926,,42,0.5,0.6,0.08,1,0,,,,,01/10/2026,0.0,-0.09375,0.3,0.0,NEUTRAL,,,
Roschon Johnson,CHI,RB,4000,0.009520031733439112,,42,0.5,0.6,0.08,1,0,,,,,01/10/2026,0.0,-0.09375,0.3,0.0,NEUTRAL,,,
Deion Hankins,CHI,RB,4000,0.0,,42,0.5,0.6,0.08,1,0,,,,,01/10/2026,0.0,-0.09375,0.3,0.0,NEUTRAL,,,
Brittain Brown,CHI,RB,4000,0.1281237604125347,,42,0.5,0.6,0.08,1,0,,,,,01/10/2026,0.0,-0.09375,0.3,0.0,NEUTRAL,,,
