def_team,lane,def_rush_share_allowed
ARI,left_end,9.3
ATL,left_end,14.6
BAL,left_end,10.2
BUF,left_end,13
CAR,left_end,20.5
CHI,left_end,12.4
CIN,left_end,15.1
CLE,left_end,11.6
DAL,left_end,14.4
DEN,left_end,9.6
DET,left_end,11.6
GB,left_end,10.9
HOU,left_end,5.6
IND,left_end,8.8
JAX,left_end,12.4
KC,left_end,13.5
LA,left_end,9.1
LAC,left_end,7.3
LV,left_end,16.9
MIA,left_end,9.7
MIN,left_end,13.9
NE,left_end,15.1
NO,left_end,9.4
NYG,left_end,12.7
NYJ,left_end,17.1
PHI,left_end,14.7
PIT,left_end,17.5
SEA,left_end,11.5
SF,left_end,16.3
TB,left_end,15.9
TEN,left_end,9.9
WAS,left_end,8.3
,left_end,
,left_end,
Yards per Carry (by lane),left_end,
Team,left_end,Left End
ARI,left_end,4.533333333333333
ATL,left_end,4.954545454545454
BAL,left_end,6.647058823529412
BUF,left_end,7.714285714285714
CAR,left_end,4.516129032258065
CHI,left_end,6.263157894736842
CIN,left_end,7.633333333333334
CLE,left_end,5.210526315789473
DAL,left_end,5.827586206896552
DEN,left_end,3.6875
DET,left_end,6.117647058823529
GB,left_end,4.928571428571429
HOU,left_end,4.125
IND,left_end,7
JAX,left_end,4.105263157894737
KC,left_end,3.952380952380953
LA,left_end,5.117647058823529
LAC,left_end,9
LV,left_end,4.827586206896552
MIA,left_end,8.8
MIN,left_end,3.956521739130435
NE,left_end,3.956521739130435
NO,left_end,3.421052631578947
NYG,left_end,9.571428571428571
NYJ,left_end,5.057142857142857
PHI,left_end,4.892857142857143
PIT,left_end,3.481481481481481
SEA,left_end,3.222222222222222
SF,left_end,7.357142857142857
TB,left_end,2.62962962962963
TEN,left_end,7.5
WAS,left_end,6.4375
,left_end,
,left_end,
Rush Success Rate (by lane),left_end,
Team,left_end,Left End
ARI,left_end,0.4
ATL,left_end,0.5
BAL,left_end,0.6470588235294118
BUF,left_end,0.7142857142857143
CAR,left_end,0.3225806451612903
CHI,left_end,0.5263157894736842
CIN,left_end,0.5333333333333333
CLE,left_end,0.3684210526315789
DAL,left_end,0.5172413793103449
DEN,left_end,0.25
DET,left_end,0.6470588235294118
GB,left_end,0.3571428571428572
HOU,left_end,0.5
IND,left_end,0.3846153846153846
JAX,left_end,0.3684210526315789
KC,left_end,0.4761904761904762
LA,left_end,0.5882352941176471
LAC,left_end,0.6666666666666666
LV,left_end,0.4482758620689655
MIA,left_end,0.4
MIN,left_end,0.4782608695652174
NE,left_end,0.4347826086956522
NO,left_end,0.4210526315789473
NYG,left_end,0.7619047619047619
NYJ,left_end,0.5714285714285714
PHI,left_end,0.5
PIT,left_end,0.4074074074074074
SEA,left_end,0.5
SF,left_end,0.6428571428571429
TB,left_end,0.3333333333333333
TEN,left_end,0.5
WAS,left_end,0.5
,left_end,
,left_end,
Rush TDs (by lane),left_end,
Team,left_end,Left End
ARI,left_end,3
ATL,left_end,1
BAL,left_end,0
BUF,left_end,1
CAR,left_end,2
CHI,left_end,1
CIN,left_end,1
CLE,left_end,0
DAL,left_end,1
DEN,left_end,0
DET,left_end,0
GB,left_end,0
HOU,left_end,0
IND,left_end,0
JAX,left_end,0
KC,left_end,1
LA,left_end,0
LAC,left_end,4
LV,left_end,1
